10.9	12.80 
9.4	12.39 
9.2	11.95 
10.3	11.53 
10.1	11.53 
10	11.16 
8.6	10.55 
8.6	8.89 
7.3	8.52 
6.9	7.02 
7.8	5.09 
9.1	4.94 
8.9	4.44 
7.9	4.13 
7.6	2.78 
6.7	2.72 
8.7	2.51 
9.1	2.40 
8.8	2.36 
7.5	2.41 
9.5	2.60 
8.6	2.51 
8	2.43 
7.5	2.36 
8.9	2.29 
8.8	2.11 
9.6	2.06 
9.1	2.15 
11.1	2.12 
9.1	2.04 
10	2.34 
10	2.51 
10.6	2.23 
11.6	2.29 
9.8	2.32 
8.8	2.18 
11.1	2.12 
11.1	1.54 
10.8	1.47 
12.4	1.54 
12.5	1.71 
13.7	1.89 
12.2	2.34 
12.5	2.57 
13.8	2.09 
15	2.41 
14.3	2.56 
13.9	2.47 
11.5	2.41 
10.9	2.83 
9.5	2.79 
7.1	2.08 
6.4	0.87 
8.2	0.87 
10.6	1.27 
11.9	1.27 
12.2	1.36 
10.8	1.77 
9.9	1.73 
9.9	2.11 
10.2	2.79 
10	3.22 
9.4	3.83 
8.8	3.52 
8.1	3.44 
7.7	2.72 
7.5	2.85 
8.1	2.68 
7.9	2.50 
7.6	4.00 
7.9	3.48 
7.7	4.04 
7.5	3.12 
7.6	2.71 
7.2	3.18 
7.3	3.00 
7.1	3.50 
7.1	1.78 
7	1.78 
6.9	1.95 
6.9	2.10 
6.8	2.12 
6.8	2.17 
6.9	2.36 
7	2.48 
7	2.82 
6.9	2.90 
6.8	2.88 
6.9	2.75 
6.9	2.75 
6.7	2.45 
6.5	2.49 
6.3	2.26 
6	2.12 
5.9	2.43 
5.8	2.31 
-6.9	1.74 
3.1	1.40 
4.8	1.91 
6.4	1.80 
18.7	1.95 
8.3	2.08 
5.2	2.11 
4.3	2.03 
4.8	2.05 
0.4	1.56 
3.9	1.33 
2.9	1.41 
4.5	1.69 
6.3	1.59 
4.9	1.69 
5.2	1.86 
5.3	1.85 
4.7	1.86 
4.6	1.79 
